127.0.0.1 - - [27/Mar/2024:21:47:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/ HTTP/1.1" 200 15257
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/css/w3-theme-teal.css HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/css/w3.css HTTP/1.1" 200 27555
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/css/bootstrap.min.css HTTP/1.1" 200 137429
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/css/font-awesome-4.5.0/css/font-awesome.css HTTP/1.1" 200 33233
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/goldenGym.PNG HTTP/1.1" 200 119473
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/js/jquery.min.js HTTP/1.1" 200 97385
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/js/bootstrap.min.js HTTP/1.1" 200 36891
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_5.jpg HTTP/1.1" 200 416717
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_66.jpg HTTP/1.1" 200 139280
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_4.jpg HTTP/1.1" 200 1254992
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_11.jpg HTTP/1.1" 200 948368
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_44.jpg HTTP/1.1" 200 159629
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_55.jpg HTTP/1.1" 200 143017
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_77.png HTTP/1.1" 200 875801
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_120.jpg HTTP/1.1" 200 133311
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_1.jpg HTTP/1.1" 200 154405
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/photo's/gallery/gallery_88.jpg HTTP/1.1" 200 167025
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:54 +0530] "GET /GoldenGym/css/font-awesome-4.5.0/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:55 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:55 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:55 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:47:55 +0530] "GET /GoldenGym/photo's/goldenGym1.ico HTTP/1.1" 200 128740
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:12 +0530] "GET /GoldenGym/index.jsp HTTP/1.1" 200 15257
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:12 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:12 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:12 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:15 +0530] "GET /GoldenGym/ActivityYoga.jsp HTTP/1.1" 200 12567
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:15 +0530] "GET /GoldenGym/photo's/Yoga2.jpg HTTP/1.1" 200 1970364
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:23 +0530] "GET /GoldenGym/ActivityPranayam.jsp HTTP/1.1" 200 12935
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:23 +0530] "GET /GoldenGym/photo's/pranayam%20.jpg HTTP/1.1" 200 104745
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:23 +0530] "GET /GoldenGym/photo's/Pranayam1.jpg HTTP/1.1" 200 35589
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:23 +0530] "GET /GoldenGym/photo's/class-22.jpg HTTP/1.1" 200 76140
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:23 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:31 +0530] "GET /GoldenGym/ActivityStretching.jsp HTTP/1.1" 200 10227
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:31 +0530] "GET /GoldenGym/photo's/Stretching1.jpg HTTP/1.1" 200 419588
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:31 +0530] "GET /GoldenGym/photo's/Stretching%202.jpg HTTP/1.1" 200 1510606
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:31 +0530] "GET /GoldenGym/photo's/Stretching3.jpg HTTP/1.1" 200 299910
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:43 +0530] "GET /GoldenGym/Equipments.jsp HTTP/1.1" 200 11598
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/Abdominal_Bench_thumb.jpg HTTP/1.1" 200 15130
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/berbell_thumb.jpg HTTP/1.1" 200 40836
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/Dumbels_thumb.jpg HTTP/1.1" 200 57679
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/EZ%20Curl%20Bar_thumb.jpg HTTP/1.1" 200 8036
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/Hyper%20Extension%20Bench_thumb.jpg HTTP/1.1" 200 21150
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/Weight%20Plates_thumb.png HTTP/1.1" 200 136616
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/Pec_Deck_Machine_thumb.jpg HTTP/1.1" 200 14864
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/Leg_Extension_Machine_thumb.jpg HTTP/1.1" 200 25732
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:44 +0530] "GET /GoldenGym/photo's/Equipments/Lat_Pull_Down_Machine_thumb.png HTTP/1.1" 200 58855
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:51 +0530] "GET /GoldenGym/GuestScheduleListServlet HTTP/1.1" 500 3614
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:55 +0530] "GET /GoldenGym/UserPackageListServlet HTTP/1.1" 500 3606
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:48:59 +0530] "GET /GoldenGym/AboutUS.jsp HTTP/1.1" 200 8438
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:49:01 +0530] "GET /GoldenGym/Contact-us.jsp HTTP/1.1" 200 10038
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:49:04 +0530] "GET /GoldenGym/LoginPage.jsp HTTP/1.1" 200 13223
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:49:04 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:49:04 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:49:04 +0530] "GET /GoldenGym/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 5994
0:0:0:0:0:0:0:1 - - [27/Mar/2024:21:49:17 +0530] "POST /GoldenGym/LoginServlet HTTP/1.1" 500 3566
